city,mean_city_price,median_city_price
Aleksandrów Kujawski,217750.0,195500.0
Aleksandrów Łódzki,271422.62,263757.0
Andrychów,263036.66,275000.0
Augustów,278794.38,272918.0
Babimost,192958.33,230000.0
Barczewo,215666.67,149000.0
Barlinek,294369.34,241701.5
Bartoszyce,197600.0,219000.0
Barwice,154500.0,154500.0
Bełchatów,201975.0,195000.0
Biała,337640.62,257507.5
Biała Podlaska,204728.38,177500.0
Białobrzegi,275000.0,275000.0
Białogard,153145.0,137500.0
Biały Bór,106660.0,99900.0
Białystok,300839.72,278000.0
Bielawa,140106.52,129500.0
Bielsk Podlaski,208164.3,220116.0
Bielsko-Biała,288114.75,254882.0
Bierutów,147000.0,147000.0
Bieruń,159000.0,159000.0
Biskupiec,184000.0,174500.0
Biłgoraj,210072.7,221093.0
Blachownia,167700.0,207100.0
Bobolice,80800.0,95000.0
Bochnia,313135.0,298000.0
Bodzentyn,95000.0,95000.0
Bogatynia,149000.0,149000.0
Boguszów-Gorce,88868.625,81500.0
Bojanowo,172500.0,172500.0
Bolesławiec,261666.67,230500.0
Bolków,163666.67,173000.0
Borne Sulinowo,154218.84,140000.0
Braniewo,168727.27,165000.0
Brodnica,260613.38,271459.0
Brwinów,318666.66,310000.0
Brzeg,226860.23,223500.0
Brzeg Dolny,174167.4,158000.0
Brzesko,303120.78,274563.6
Brzeszcze,240000.0,240000.0
Brzeziny,281666.66,297000.0
Brzozów,132250.0,132250.0
Buk,251249.5,262499.0
Bukowno,120000.0,120000.0
Busko-Zdrój,222862.5,240725.0
Bychawa,269500.0,269500.0
Bydgoszcz,329984.47,289000.0
Bystrzyca Kłodzka,95000.0,95000.0
Bytom,148897.31,145000.0
Bytów,165000.0,165000.0
Będzin,216143.84,191236.5
Błonie,282119.03,255000.0
Chełm,352871.78,360186.0
Chełmek,135600.0,130000.0
Chełmno,173639.95,170000.0
Chełmża,59999.0,59999.0
Chocianów,145000.0,145000.0
Chociwel,155000.0,160000.0
Chodzież,194920.0,224800.0
Chojna,177666.67,193500.0
Chojnice,231921.38,221305.0
Chojnów,149957.14,135000.0
Choroszcz,226200.0,244000.0
Chorzów,251227.55,200000.0
Choszczno,188179.17,198500.0
Chrzanów,179400.0,180000.0
Chęciny,120000.0,120000.0
Ciechanów,166200.0,190000.0
Ciechocinek,237327.94,230230.0
Cieszyn,226796.5,255779.0
Czaplinek,153833.33,143000.0
Czarna Białostocka,152500.0,152000.0
Czarne,347103.34,322000.0
Czechowice-Dziedzice,213512.38,218879.5
Czeladź,144487.5,134450.0
Czempiń,219000.0,209000.0
Czerniejewo,143000.0,143000.0
Czersk,215000.0,215000.0
Czerwieńsk,149000.0,149000.0
Czerwionka-Leszczyny,133300.0,130000.0
Częstochowa,260832.4,238000.0
Człuchów,178135.5,180000.0
Darłowo,379607.38,262500.0
Debrzno,105000.0,105000.0
Dobczyce,273350.0,273350.0
Dobre Miasto,269400.0,259000.0
Dobrzany,135000.0,135000.0
Dobrzyca,68000.0,68000.0
Dolsk,196000.0,196000.0
