county,mean_county_price,median_county_price
Biała Podlaska[a],204728.38,177500.0
Białystok[a],300839.72,278000.0
Bielsko-Biała[a],288114.75,254882.0
Bydgoszcz[a],329984.47,289000.0
Bytom[a],148897.31,145000.0
Chełm[a],352871.78,360186.0
Chorzów[a],251227.55,200000.0
Częstochowa[a],260832.4,238000.0
Dąbrowa Górnicza[a],217928.64,179500.0
Elbląg[a],256594.2,239605.55
Gdańsk[a],582407.06,485000.0
Gdynia[a],668763.44,460825.06
Gliwice[a],266079.62,237380.0
Gorzów Wielkopolski[a],231267.61,215000.0
Grudziądz[a],236839.33,219226.5
Jastrzębie-Zdrój[a],134650.0,135000.0
Jaworzno[a],179682.78,171500.0
Jelenia Góra[a],259100.98,230000.0
Kalisz[a],243231.36,227500.0
Katowice[a],327488.56,289184.0
Kielce[a],298803.44,276000.0
Konin[a],180792.38,175000.0
Koszalin[a],258813.47,249000.0
Kraków[a],529502.5,416305.0
Krosno[a],172212.94,160000.0
Legnica[a],236099.27,225000.0
Leszno[a],254888.3,238812.0
Lublin[a],341656.47,314900.0
Mysłowice[a],228182.84,200000.0
Nowy Sącz[a],256424.42,244380.0
Olsztyn[a],306681.12,285000.0
Opole[a],337901.7,319500.0
Ostrołęka[a],146333.33,144000.0
Piekary Śląskie[a],171749.9,158949.5
Piotrków Trybunalski[a],210114.78,175000.0
Poznań[a],394143.47,348893.75
Przemyśl[a],170286.06,155932.5
Płock[a],181895.0,186000.0
Radom[a],236051.16,222500.0
Ruda Śląska[a],154799.97,142000.0
Rybnik[a],201542.06,185000.0
Rzeszów[a],309250.03,297000.0
Siedlce[a],389923.88,370000.0
Siemianowice Śląskie[a],208525.3,214207.0
Skierniewice[a],385000.0,385000.0
Sopot[a],1133006.1,932500.0
Sosnowiec[a],206419.42,196000.0
Suwałki[a],258880.98,272200.0
Szczecin[a],363838.03,332952.5
Słupsk[a],229318.94,217000.0
Tarnobrzeg[a],197315.0,204500.0
Tarnów[a],226015.38,209000.0
Toruń[a],312635.8,280000.0
Tychy[a],244911.64,232000.0
Wałbrzych[a],143384.3,135000.0
Wrocław[a],396989.7,361227.0
Włocławek[a],179240.61,162000.0
Zabrze[a],181136.02,171020.5
Zamość[a],259000.0,259000.0
Zielona Góra[a],275213.3,265000.0
aleksandrowski,233094.86,220000.0
augustowski,278794.38,272918.0
